TYPE,X,Y
GARDEN,495310.10116302397,5455390.272791815
GARDEN,493477.0542738518,5453767.222040623
GARDEN,495476.3758771302,5459195.055632793
GARDEN,491710.13985831034,5456511.936173027
GARDEN,495779.3688715785,5455123.962812126
GARDEN,496501.89131214574,5454303.365956055
GARDEN,491617.9964364312,5457442.307040529
GARDEN,489202.31674947124,5451672.642382261
GARDEN,494878.0893770841,5456691.717409856
GARDEN,493856.9329341687,5453756.724280479
GARDEN,496424.4306189229,5454180.984240123
GARDEN,496596.317811791,5454689.077785774
GARDEN,493162.95982439804,5455270.400671684
GARDEN,492098.4749663822,5457548.286323498
GARDEN,495788.17393538274,5455227.266475901
GARDEN,490186.8543262438,5450675.832391889
GARDEN,491710.13985831034,5456511.936173027
GARDEN,496507.6306335337,5453666.3364823
GARDEN,489044.71439813636,5451933.724637052
GARDEN,492386.7358712382,5457674.036257595
GARDEN,489037.3310400791,5452032.836177536
GARDEN,493941.7952744485,5456841.948467476
GARDEN,489402.7092270513,5457067.447960574
GARDEN,493934.52854028693,5457912.006665502
GARDEN,493816.4824128686,5456951.979932718
GARDEN,489690.40842456586,5457071.981751835
GARDEN,494987.69203648093,5456414.279666199
GARDEN,496413.3069084144,5457450.163393832
GARDEN,496770.2716678156,5456961.614810723
GARDEN,493428.2682255507,5454213.69434497
GARDEN,495923.8629221337,5459220.263789449
GARDEN,494644.5082397701,5457054.966989148
GARDEN,493187.18944383593,5458691.510668582
GARDEN,494512.70108702104,5455885.239635505
GARDEN,496429.08102640236,5456075.520051015
GARDEN,497864.75925883115,5451943.146634757
GARDEN,493934.52854028693,5457912.006665502
GARDEN,488940.3787258982,5450620.373056058
GARDEN,489055.3689824409,5457082.0577569585
GARDEN,493554.35317758104,5456772.818272437
GARDEN,492129.0356943315,5456846.889235783
GARDEN,495152.59717566246,5457059.442889645
GARDEN,493281.5551706346,5456093.192870481
GARDEN,495468.9783313435,5459263.754194106
GARDEN,492772.8517300271,5456011.671440366
GARDEN,489870.8738811648,5460102.412562646
GARDEN,496492.05108411005,5454544.4332206575
GARDEN,494326.2213043887,5456486.315648282
GARDEN,491106.08904582757,5455438.372388522
GARDEN,494272.81544130744,5456730.556839866
GARDEN,490498.63656098966,5458986.178262343
GARDEN,497368.8532619139,5459556.96361463
GARDEN,487743.72980298614,5452092.214133897
GARDEN,495768.6466968193,5458866.824543471
GARDEN,492961.62708796456,5452224.096462871
GARDEN,497812.77512679796,5455814.24642004
GARDEN,496068.1402323897,5451184.225544219
GARDEN,498144.88883493154,5458163.744344863
GARDEN,492901.75139039,5453874.345491692
GARDEN,497729.50044073083,5453717.535645985
GARDEN,494868.94683712703,5457864.74177865
GARDEN,486514.1738055436,5454627.446862738
GARDEN,494050.10740333836,5451488.749348321
GARDEN,492985.4058950034,5456820.472709469
GARDEN,497171.1442073517,5458706.61635104
GARDEN,492268.4284504442,5456045.619236669
GARDEN,493066.8451274358,5458930.044794317
GARDEN,491413.32164570206,5452070.798825334
GARDEN,490777.25665496226,5457067.450815676
GARDEN,494656.9723069376,5458419.440789867
GARDEN,494635.27346176415,5456082.312679338
GARDEN,496289.13147945853,5450336.4726768285
GARDEN,494587.44476214825,5454949.757182784
GARDEN,488206.4039711362,5456579.296982675
GARDEN,493247.57989032386,5458059.730431622
GARDEN,496320.6923779191,5455925.956276609
,,
GARDEN,496699.6104556998,5459270.837425056
GARDEN,487157.5906566622,5455532.782402889
GARDEN,488720.2804973581,5455338.9894048115
GARDEN,490371.3106544899,5459345.44899615
GARDEN,496224.8105663241,5459829.943456439
GARDEN,487521.6385722204,5455993.225457916
GARDEN,497621.51388929604,5451523.058911358
GARDEN,497752.66909874213,5457828.188825632
GARDEN,488896.5887915315,5457017.585614149
GARDEN,497226.7855277697,5450925.185305766
GARDEN,490679.55889959174,5453866.485819188
GARDEN,484402.1837040656,5457698.277644
GARDEN,490425.91542596754,5458859.858501217
GARDEN,493142.2786320443,5458732.477372792
GARDEN,493159.76183984254,5458719.948873496
GARDEN,489458.88385080744,5456263.842723786
GARDEN,489737.2946551839,5457546.382117829
GARDEN,490710.3875561278,5456005.739654664
GARDEN,492783.84246881085,5454804.014191778
GARDEN,492610.94263366936,5458748.018209945
GARDEN,489538.1080039892,5456045.7749119755
GARDEN,486523.943749097,5457338.2672988875
GARDEN,495678.5015853275,5451285.481394519
GARDEN,491670.49522454775,5456811.13379223
GARDEN,490595.57572356716,5458536.569516484
GARDEN,495205.7052525017,5456432.3729057675
GARDEN,491486.8388426807,5451811.681462222
GARDEN,493663.6719914929,5458707.783279126
GARDEN,490901.53292046546,5458497.311655121
GARDEN,490617.6884558106,5458657.107758895
GARDEN,488984.9302871034,5457852.001013256
GARDEN,492297.1660542557,5452421.011051799
GARDEN,492730.2569149768,5456057.474166282
GARDEN,493638.86940918205,5455963.699425751
